ABC Data
SL	IA	FZ	FX	SA	TSTC	FY	P
s	deg	N	N	N	C	-	KPa
-0.25	0	-250	-1116.73529401027	0	55	0	82.7
-0.245	0	-250	-1115.13271210463	0	55	0	82.7
-0.24	0	-250	-1113.37771281696	0	55	0	82.7
-0.235	0	-250	-1111.45270615118	0	55	0	82.7
-0.23	0	-250	-1109.33779314642	0	55	0	82.7
-0.225	0	-250	-1107.01044161719	0	55	0	82.7
-0.22	0	-250	-1104.44511739574	0	55	0	82.7
-0.215	0	-250	-1101.61286645048	0	55	0	82.7
-0.21	0	-250	-1098.48084353762	0	55	0	82.7
-0.205	0	-250	-1095.01178377556	0	55	0	82.7
-0.2	0	-250	-1091.16341492432	0	55	0	82.7
-0.195	0	-250	-1086.88781049626	0	55	0	82.7
-0.19	0	-250	-1082.13068750039	0	55	0	82.7
-0.185	0	-250	-1076.8306581218	0	55	0	82.7
-0.18	0	-250	-1070.91845257161	0	55	0	82.7
-0.175	0	-250	-1064.31614143565	0	55	0	82.7
-0.17	0	-250	-1056.93640090685	0	55	0	82.7
-0.165	0	-250	-1048.68188409953	0	55	0	82.7
-0.16	0	-250	-1039.44478682224	0	55	0	82.7
-0.155	0	-250	-1029.10672684789	0	55	0	82.7
-0.15	0	-250	-1017.53909101728	0	55	0	82.7
-0.145	0	-250	-1004.60404194696	0	55	0	82.7
-0.14	0	-250	-990.156410659689	0	55	0	82.7
-0.135	0	-250	-974.046724609463	0	55	0	82.7
-0.13	0	-250	-956.125619614739	0	55	0	82.7
-0.125	0	-250	-936.249842259204	0	55	0	82.7
-0.12	0	-250	-914.28994700041	0	55	0	82.7
-0.115	0	-250	-890.139611992034	0	55	0	82.7
-0.11	0	-250	-863.726231358661	0	55	0	82.7
-0.105	0	-250	-835.022101144086	0	55	0	82.7
-0.1	0	-250	-804.055143703153	0	55	0	82.7
-0.095	0	-250	-770.917789088274	0	55	0	82.7
-0.09	0	-250	-735.772458650825	0	55	0	82.7
-0.085	0	-250	-698.852185169529	0	55	0	82.7
-0.08	0	-250	-660.455325722781	0	55	0	82.7
-0.075	0	-250	-620.934064725916	0	55	0	82.7
-0.07	0	-250	-580.677343543992	0	55	0	82.7
-0.065	0	-250	-540.08977846985	0	55	0	82.7
-0.06	0	-250	-499.568803120072	0	55	0	82.7
-0.055	0	-250	-459.482516863018	0	55	0	82.7
-0.05	0	-250	-420.150487473421	0	55	0	82.7
-0.045	0	-250	-381.829135439572	0	55	0	82.7
-0.04	0	-250	-344.702509187921	0	55	0	82.7
-0.035	0	-250	-308.878457074042	0	55	0	82.7
-0.03	0	-250	-274.389577381463	0	55	0	82.7
-0.025	0	-250	-241.197961124706	0	55	0	82.7
-0.02	0	-250	-209.202630927938	0	55	0	82.7
-0.015	0	-250	-178.248664423964	0	55	0	82.7
-0.01	0	-250	-148.137193420723	0	55	0	82.7
-0.005	0	-250	-118.635717193741	0	55	0	82.7
0	0	-250	-89.4889806764943	0	55	0	82.7
0.005	0	-250	-60.4140311099933	0	55	0	82.7
0.01	0	-250	-30.9969377389499	0	55	0	82.7
0.015	0	-250	-0.753030221415988	0	55	0	82.7
0.02	0	-250	30.7731181065914	0	55	0	82.7
0.025	0	-250	63.9879035738381	0	55	0	82.7
0.03	0	-250	99.2277443068368	0	55	0	82.7
0.035	0	-250	136.736520310245	0	55	0	82.7
0.04	0	-250	176.642354150553	0	55	0	82.7
0.045	0	-250	218.935772517226	0	55	0	82.7
0.05	0	-250	263.452483067413	0	55	0	82.7
0.055	0	-250	309.864963434088	0	55	0	82.7
0.06	0	-250	357.687281131368	0	55	0	82.7
0.065	0	-250	406.29651333207	0	55	0	82.7
0.07	0	-250	454.971556324032	0	55	0	82.7
0.075	0	-250	502.946350063344	0	55	0	82.7
0.08	0	-250	549.470658495953	0	55	0	82.7
0.085	0	-250	593.869010496562	0	55	0	82.7
0.09	0	-250	635.588384790294	0	55	0	82.7
0.095	0	-250	674.227884878929	0	55	0	82.7
0.1	0	-250	709.548007095499	0	55	0	82.7
0.105	0	-250	741.46153128419	0	55	0	82.7
0.11	0	-250	770.011144286308	0	55	0	82.7
0.115	0	-250	795.34003220535	0	55	0	82.7
0.12	0	-250	817.661090934303	0	55	0	82.7
0.125	0	-250	837.228829190869	0	55	0	82.7
0.13	0	-250	854.316230647002	0	55	0	82.7
0.135	0	-250	869.197314459281	0	55	0	82.7
0.14	0	-250	882.135098896654	0	55	0	82.7
0.145	0	-250	893.37412159224	0	55	0	82.7
0.15	0	-250	903.136484527014	0	55	0	82.7
0.155	0	-250	911.620432985561	0	55	0	82.7
0.16	0	-250	919.000630341558	0	55	0	82.7
0.165	0	-250	925.42947721996	0	55	0	82.7
0.17	0	-250	931.039000797752	0	55	0	82.7
0.175	0	-250	935.942988330029	0	55	0	82.7
0.18	0	-250	940.239153583058	0	55	0	82.7
0.185	0	-250	944.011208333086	0	55	0	82.7
0.19	0	-250	947.330769011068	0	55	0	82.7
0.195	0	-250	950.259066979355	0	55	0	82.7
0.2	0	-250	952.848455186232	0	55	0	82.7
0.205	0	-250	955.143718368635	0	55	0	82.7
0.21	0	-250	957.183201808145	0	55	0	82.7
0.215	0	-250	958.99977722551	0	55	0	82.7
0.22	0	-250	960.621665345539	0	55	0	82.7
0.225	0	-250	962.073134068295	0	55	0	82.7
0.23	0	-250	963.375089757085	0	55	0	82.7
0.235	0	-250	964.545577350366	0	55	0	82.7
0.24	0	-250	965.600203098274	0	55	0	82.7
0.245	0	-250	966.552491874304	0	55	0	82.7
0.25	0	-250	967.414189303001	0	55	0	82.7
-0.25	4	-250	-1042.90741340839	0	55	0	82.7
-0.245	4	-250	-1041.78456350869	0	55	0	82.7
-0.24	4	-250	-1040.55411604044	0	55	0	82.7
-0.235	4	-250	-1039.20336395111	0	55	0	82.7
-0.23	4	-250	-1037.7178591906	0	55	0	82.7
-0.225	4	-250	-1036.08114940893	0	55	0	82.7
-0.22	4	-250	-1034.27447314742	0	55	0	82.7
-0.215	4	-250	-1032.27640736693	0	55	0	82.7
-0.21	4	-250	-1030.06246056331	0	55	0	82.7
-0.205	4	-250	-1027.60460424902	0	55	0	82.7
-0.2	4	-250	-1024.8707353504	0	55	0	82.7
-0.195	4	-250	-1021.82406226276	0	55	0	82.7
-0.19	4	-250	-1018.42240818313	0	55	0	82.7
-0.185	4	-250	-1014.61742727927	0	55	0	82.7
-0.18	4	-250	-1010.35373277963	0	55	0	82.7
-0.175	4	-250	-1005.56794189852	0	55	0	82.7
-0.17	4	-250	-1000.18765159187	0	55	0	82.7
-0.165	4	-250	-994.130372678396	0	55	0	82.7
-0.16	4	-250	-987.302469315729	0	55	0	82.7
-0.155	4	-250	-979.59817781816	0	55	0	82.7
-0.15	4	-250	-970.898814913129	0	55	0	82.7
-0.145	4	-250	-961.072331825074	0	55	0	82.7
-0.14	4	-250	-949.973426809316	0	55	0	82.7
-0.135	4	-250	-937.444492124697	0	55	0	82.7
-0.13	4	-250	-923.317734755498	0	55	0	82.7
-0.125	4	-250	-907.41885974162	0	55	0	82.7
-0.12	4	-250	-889.572718422923	0	55	0	82.7
-0.115	4	-250	-869.611269615775	0	55	0	82.7
-0.11	4	-250	-847.384041453743	0	55	0	82.7
-0.105	4	-250	-822.770979141757	0	55	0	82.7
