ABC Data
SA	IA	FZ	FY	TSTC	FX	SR	P
s	deg	N	N	N	C	-	KPa
-12	0	-250	748.933989120912	55	0	0	55.2
-11.9	0	-250	754.990211533748	55	0	0	55.2
-11.8	0	-250	760.866285917121	55	0	0	55.2
-11.7	0	-250	766.560457252503	55	0	0	55.2
-11.6	0	-250	772.071012520657	55	0	0	55.2
-11.5	0	-250	777.396281353616	55	0	0	55.2
-11.4	0	-250	782.534636676117	55	0	0	55.2
-11.3	0	-250	787.484495336236	55	0	0	55.2
-11.2	0	-250	792.244318724903	55	0	0	55.2
-11.1	0	-250	796.812613384064	55	0	0	55.2
-11	0	-250	801.187931603169	55	0	0	55.2
-10.9	0	-250	805.368872003755	55	0	0	55.2
-10.8	0	-250	809.354080111828	55	0	0	55.2
-10.7	0	-250	813.142248917789	55	0	0	55.2
-10.6	0	-250	816.732119423642	55	0	0	55.2
-10.5	0	-250	820.122481177226	55	0	0	55.2
-10.4	0	-250	823.312172793211	55	0	0	55.2
-10.3	0	-250	826.30008246062	55	0	0	55.2
-10.2	0	-250	829.085148436614	55	0	0	55.2
-10.1	0	-250	831.666359526316	55	0	0	55.2
-10	0	-250	834.042755548418	55	0	0	55.2
-9.9	0	-250	836.213427786355	55	0	0	55.2
-9.8	0	-250	838.177519424799	55	0	0	55.2
-9.7	0	-250	839.934225971273	55	0	0	55.2
-9.6	0	-250	841.482795662636	55	0	0	55.2
-9.5	0	-250	842.822529856256	55	0	0	55.2
-9.4	0	-250	843.952783405633	55	0	0	55.2
-9.3	0	-250	844.87296502029	55	0	0	55.2
-9.2	0	-250	845.582537609724	55	0	0	55.2
-9.1	0	-250	846.081018611224	55	0	0	55.2
-9	0	-250	846.367980301369	55	0	0	55.2
-8.9	0	-250	846.443050091024	55	0	0	55.2
-8.8	0	-250	846.305910803667	55	0	0	55.2
-8.7	0	-250	845.956300936852	55	0	0	55.2
-8.6	0	-250	845.39401490668	55	0	0	55.2
-8.5	0	-250	844.618903275084	55	0	0	55.2
-8.4	0	-250	843.630872959805	55	0	0	55.2
-8.3	0	-250	842.42988742689	55	0	0	55.2
-8.2	0	-250	841.015966865595	55	0	0	55.2
-8.1	0	-250	839.389188345541	55	0	0	55.2
-8	0	-250	837.549685956012	55	0	0	55.2
-7.9	0	-250	835.497650927261	55	0	0	55.2
-7.8	0	-250	833.233331733725	55	0	0	55.2
-7.7	0	-250	830.757034179043	55	0	0	55.2
-7.6	0	-250	828.069121462757	55	0	0	55.2
-7.5	0	-250	825.170014228638	55	0	0	55.2
-7.4	0	-250	822.060190594521	55	0	0	55.2
-7.3	0	-250	818.740186163592	55	0	0	55.2
-7.2	0	-250	815.210594017047	55	0	0	55.2
-7.1	0	-250	811.472064688059	55	0	0	55.2
-7	0	-250	807.525306117009	55	0	0	55.2
-6.9	0	-250	803.371083587911	55	0	0	55.2
-6.8	0	-250	799.010219646015	55	0	0	55.2
-6.7	0	-250	794.443593996533	55	0	0	55.2
-6.6	0	-250	789.672143384477	55	0	0	55.2
-6.5	0	-250	784.696861455583	55	0	0	55.2
-6.4	0	-250	779.518798598309	55	0	0	55.2
-6.3	0	-250	774.139061766909	55	0	0	55.2
-6.2	0	-250	768.558814285588	55	0	0	55.2
-6.1	0	-250	762.77927563374	55	0	0	55.2
-6	0	-250	756.801721212302	55	0	0	55.2
-5.9	0	-250	750.627482091245	55	0	0	55.2
-5.8	0	-250	744.257944738232	55	0	0	55.2
-5.7	0	-250	737.694550728502	55	0	0	55.2
-5.6	0	-250	730.938796436012	55	0	0	55.2
-5.5	0	-250	723.992232705912	55	0	0	55.2
-5.4	0	-250	716.856464508403	55	0	0	55.2
-5.3	0	-250	709.533150574072	55	0	0	55.2
-5.2	0	-250	702.024003010771	55	0	0	55.2
-5.1	0	-250	694.330786902126	55	0	0	55.2
-5	0	-250	686.455319887797	55	0	0	55.2
-4.9	0	-250	678.399471725569	55	0	0	55.2
-4.8	0	-250	670.165163835394	55	0	0	55.2
-4.7	0	-250	661.754368825519	55	0	0	55.2
-4.6	0	-250	653.169110000802	55	0	0	55.2
-4.5	0	-250	644.411460853381	55	0	0	55.2
-4.4	0	-250	635.483544535812	55	0	0	55.2
-4.3	0	-250	626.387533316847	55	0	0	55.2
-4.2	0	-250	617.125648020002	55	0	0	55.2
-4.1	0	-250	607.700157445079	55	0	0	55.2
-4	0	-250	598.113377772819	55	0	0	55.2
-3.9	0	-250	588.367671952871	55	0	0	55.2
-3.8	0	-250	578.465449075248	55	0	0	55.2
-3.7	0	-250	568.409163725484	55	0	0	55.2
-3.6	0	-250	558.201315323687	55	0	0	55.2
-3.5	0	-250	547.844447447689	55	0	0	55.2
-3.4	0	-250	537.34114714052	55	0	0	55.2
-3.3	0	-250	526.694044202429	55	0	0	55.2
-3.2	0	-250	515.905810467667	55	0	0	55.2
-3.1	0	-250	504.979159066288	55	0	0	55.2
-3	0	-250	493.916843671199	55	0	0	55.2
-2.9	0	-250	482.721657730706	55	0	0	55.2
-2.8	0	-250	471.396433686826	55	0	0	55.2
-2.7	0	-250	459.944042179612	55	0	0	55.2
-2.6	0	-250	448.367391237766	55	0	0	55.2
-2.5	0	-250	436.669425455813	55	0	0	55.2
-2.4	0	-250	424.853125158123	55	0	0	55.2
-2.3	0	-250	412.921505550053	55	0	0	55.2
-2.2	0	-250	400.877615856519	55	0	0	55.2
-2.1	0	-250	388.724538448276	55	0	0	55.2
-2	0	-250	376.465387956229	55	0	0	55.2
-1.9	0	-250	364.103310374066	55	0	0	55.2
-1.8	0	-250	351.64148214954	55	0	0	55.2
-1.7	0	-250	339.083109264714	55	0	0	55.2
-1.6	0	-250	326.431426305481	55	0	0	55.2
-1.5	0	-250	313.689695520719	55	0	0	55.2
-1.4	0	-250	300.861205871371	55	0	0	55.2
-1.3	0	-250	287.949272069831	55	0	0	55.2
-1.2	0	-250	274.957233609943	55	0	0	55.2
-1.1	0	-250	261.888453787983	55	0	0	55.2
-0.999999999999998	0	-250	248.746318714965	55	0	0	55.2
-0.899999999999999	0	-250	235.534236320619	55	0	0	55.2
-0.799999999999999	0	-250	222.255635349418	55	0	0	55.2
-0.699999999999999	0	-250	208.913964348995	55	0	0	55.2
-0.6	0	-250	195.512690651327	55	0	0	55.2
-0.499999999999998	0	-250	182.055299347054	55	0	0	55.2
-0.399999999999999	0	-250	168.545292253301	55	0	0	55.2
-0.299999999999999	0	-250	154.986186875379	55	0	0	55.2
-0.199999999999999	0	-250	141.38151536274	55	0	0	55.2
-0.0999999999999996	0	-250	127.734823459577	55	0	0	55.2
1.77635683940025e-15	0	-250	114.049669450428	55	0	0	55.2
0.100000000000001	0	-250	100.329623101203	55	0	0	55.2
0.200000000000001	0	-250	86.57826459598	55	0	0	55.2
0.300000000000001	0	-250	72.7991834699979	55	0	0	55.2
0.4	0	-250	58.995977539208	55	0	0	55.2
0.500000000000002	0	-250	45.1722518267901	55	0	0	55.2
0.600000000000001	0	-250	31.3316174870248	55	0	0	55.2
0.700000000000001	0	-250	17.4776907269118	55	0	0	55.2
0.800000000000001	0	-250	3.61409172593529	55	0	0	55.2
0.9	0	-250	-10.2555564456299	55	0	0	55.2
1	0	-250	-24.127628952686	55	0	0	55.2
1.1	0	-250	-37.9985028652807	55	0	0	55.2
1.2	0	-250	-51.8645597034444	55	0	0	55.2
1.3	0	-250	-65.7221827604322	55	0	0	55.2
1.4	0	-250	-79.5677578122103	55	0	0	55.2
1.5	0	-250	-93.3976741811931	55	0	0	55.2
1.6	0	-250	-107.208325798715	55	0	0	55.2
1.7	0	-250	-120.996112265864	55	0	0	55.2
1.8	0	-250	-134.757439912288	55	0	0	55.2
1.9	0	-250	-148.488722852616	55	0	0	55.2
2	0	-250	-162.186384040094	55	0	0	55.2
2.1	0	-250	-175.846856317082	55	0	0	55.2
2.2	0	-250	-189.46658346203	55	0	0	55.2
2.3	0	-250	-203.042021232559	55	0	0	55.2
2.4	0	-250	-216.569638404284	55	0	0	55.2
2.5	0	-250	-230.045917805004	55	0	0	55.2
2.6	0	-250	-243.467357343896	55	0	0	55.2
2.7	0	-250	-256.830471035356	55	0	0	55.2
2.8	0	-250	-270.131790017108	55	0	0	55.2
2.9	0	-250	-283.367863562241	55	0	0	55.2
3	0	-250	-296.535260084807	55	0	0	55.2
3.1	0	-250	-309.630568138627	55	0	0	55.2
3.2	0	-250	-322.650397408957	55	0	0	55.2
3.3	0	-250	-335.591379696672	55	0	0	55.2
3.4	0	-250	-348.450169894604	55	0	0	55.2
3.5	0	-250	-361.223446955721	55	0	0	55.2
3.6	0	-250	-373.907914852787	55	0	0	55.2
3.7	0	-250	-386.50030352918	55	0	0	55.2
3.8	0	-250	-398.997369840535	55	0	0	55.2
3.9	0	-250	-411.395898486895	55	0	0	55.2
4	0	-250	-423.692702935025	55	0	0	55.2
4.1	0	-250	-435.884626330605	55	0	0	55.2
4.2	0	-250	-447.968542399961	55	0	0	55.2
4.3	0	-250	-459.941356341038	55	0	0	55.2
4.4	0	-250	-471.800005703311	55	0	0	55.2
4.5	0	-250	-483.541461256331	55	0	0	55.2
4.6	0	-250	-495.162727846614	55	0	0	55.2
4.7	0	-250	-506.660845242592	55	0	0	55.2
4.8	0	-250	-518.032888967316	55	0	0	55.2
4.9	0	-250	-529.275971118668	55	0	0	55.2
5	0	-250	-540.387241176786	55	0	0	55.2
5.1	0	-250	-551.363886798427	55	0	0	55.2
5.2	0	-250	-562.203134598039	55	0	0	55.2
5.3	0	-250	-572.902250915245	55	0	0	55.2
5.4	0	-250	-583.458542568514	55	0	0	55.2
5.5	0	-250	-593.869357594774	55	0	0	55.2
5.6	0	-250	-604.132085974705	55	0	0	55.2
5.7	0	-250	-614.244160343516	55	0	0	55.2
5.8	0	-250	-624.203056686936	55	0	0	55.2
5.9	0	-250	-634.006295022242	55	0	0	55.2
6	0	-250	-643.651440064073	55	0	0	55.2
6.1	0	-250	-653.136101874847	55	0	0	55.2
6.2	0	-250	-662.457936499571	55	0	0	55.2
6.3	0	-250	-671.614646584839	55	0	0	55.2
6.4	0	-250	-680.603981981856	55	0	0	55.2
6.5	0	-250	-689.423740333278	55	0	0	55.2
6.6	0	-250	-698.071767643709	55	0	0	55.2
6.7	0	-250	-706.545958833691	55	0	0	55.2
6.8	0	-250	-714.844258277011	55	0	0	55.2
6.9	0	-250	-722.964660321181	55	0	0	55.2
7	0	-250	-730.90520979095	55	0	0	55.2
7.1	0	-250	-738.664002474689	55	0	0	55.2
7.2	0	-250	-746.239185593538	55	0	0	55.2
7.3	0	-250	-753.628958253171	55	0	0	55.2
7.4	0	-250	-760.831571878071	55	0	0	55.2
7.5	0	-250	-767.845330628205	55	0	0	55.2
7.6	0	-250	-774.668591797981	55	0	0	55.2
7.7	0	-250	-781.299766197406	55	0	0	55.2
7.8	0	-250	-787.737318515347	55	0	0	55.2
7.9	0	-250	-793.979767664814	55	0	0	55.2
8	0	-250	-800.025687110185	55	0	0	55.2
8.1	0	-250	-805.873705176319	55	0	0	55.2
8.2	0	-250	-811.522505339471	55	0	0	55.2
8.3	0	-250	-816.970826499994	55	0	0	55.2
8.4	0	-250	-822.217463236733	55	0	0	55.2
8.5	0	-250	-827.261266043118	55	0	0	55.2
8.6	0	-250	-832.101141544895	55	0	0	55.2
8.7	0	-250	-836.736052699485	55	0	0	55.2
8.8	0	-250	-841.165018976942	55	0	0	55.2
8.9	0	-250	-845.387116522518	55	0	0	55.2
9	0	-250	-849.40147830081	55	0	0	55.2
9.1	0	-250	-853.207294221514	55	0	0	55.2
9.2	0	-250	-856.803811246787	55	0	0	55.2
9.3	0	-250	-860.190333480234	55	0	0	55.2
9.4	0	-250	-863.366222237554	55	0	0	55.2
